id,score,review
777,Negative,Göründüğü gibi değil. Kumaşın kalitesi çok kötü
778,Negative,Saçları kazık gibi yapıyor.
779,Negative,Çok kötü hiç beğenmedim. Verdiğim paraya acıdım
780,Negative,Fotoğraftaki gibi çok hoş değil ürünün kalitesi kötü
781,Negative,Memnun kalmadım
782,Positive,tercih edenlere öneririm
783,Positive,kesinlikle başarılı ürün yorumlarda abarttiklarini düşünüyordum ama gerçekten fiyat performans 10 numara tebrikler xolo yüzünüzün temizlendigini hissediceksiniz yumuşacık parlak bir ten
784,Negative,arkadaşım uyardı ama ben ikna olmadım aldım kullandım ve işe yaramadı sizde benim gibiyseniz mutlaka alın kullanın hiç bir işe yaramadığını kendiniz görün.
785,Neutral,3-5 kullanımda bozuldu çalışmıyor
786,Neutral,Boyutu küçük ama çok iyi
787,Neutral,güzel bir şampuan beğendim
788,Neutral,Anında etki ediyor
789,Positive,Yağlı ve akneli cilde mutlaka öneririm eger farklı bir rahatsızlıktan kaynaklı sivilce problemi yoksa çok güzel yıkadığınızda yüzdeki ferahlamayı yumuşaklığı hissediyorsunuz bana bu bir sene gitmişti gecen sene almıştım bayağı da bereketli bir ürün parasını hak ediyor 👏
790,Neutral,"Beklentimi karşılamadı, kabarmaya engel olmuyor"
791,Neutral,Daha öncede sipariş etmiştim 5 kullanımda bozuldu inş bu bozulmaz
792,Positive,yumuşacık yapıyor saçı etkisi gözle görülebilir derecede
793,Positive,Yemin ediyorum dudakların kurtaricisi sur sur dur mukkemmel bir onarici nanesi ferahlik veriyor yumusacik ve pürüzsüz yapiyor
794,Negative,"ürün rirtikli yaziyor,değil. ozel kutusunda diyor,o da değil. yazilan seylerle alakasi yok,tum parcalari ayriliyor dusuyor kullanirken. BERBAT"
795,Negative,Görüntü kalitesi çok düşük
796,Positive,diğer markalara göre daha pamuksu ve fiyatı çok çok uygun.
797,Positive,"Çok fazla cildini yıkamayan biri olarak söylüyorum bu ürün çok iyi. Hem küçük yağ bezesi gibi minnakları geçirdi, hem de gerçekten temizliyor."
798,Positive,çokk iyi fiyatı
799,Negative,Memnun kalmadım hiç çekmiyor iade edicemmm kesilikle vakum falan yok🤷🏻‍♀️
800,Negative,paketleme iğrençti
801,Positive,ilk kullanımda yarim ton falan açıldı benim. Sac kurutma makinesi ile yapmıştım.Ama 2.kez yaptığımda bayağı fark oldu aşamalı bir acıcı olduğu için kesinlikle tavsiye ederim 0 yipranma
802,Neutral,Güzel ısınıyor ama rengi siyah geldi beyaz değil. Geldigi zaman kutunun yan tarafları açılmıştı  kargo tarafın dan memnun kalmadım
803,Negative,Çok bastırmama rağmen renk çıkmıyor. Beğenmedim .
804,Negative,Bitirdim hiç bir faydasını görmedim
805,Positive,Beğendik çok
806,Positive,gerçekten çok güzel hızlı kargo ve saçlarımı yumuşacık yaptı ve full dolu
807,Negative,Ürüne tüp takabilmeniz için eliniz mürekkep oluyor tüpteki mürekkepin yarısı da gidiyor.Ucuz ama hiç kullanışlı değil.
808,Negative,Hiç beğenmedim benim cildime iyi gelmedi pul pul oldu cildim
809,Neutral,Ürün uzun zamandır beklediği için biraz donmuş
810,Positive,Çok güzel çok kullanışlı
811,Positive,"2 gündür kullaniyorum henüz bir sonuc görmedim , mentol kokusu kesinlikle rahatsiz etmiyor , saça da kullaniliyormus bu arada :) ama ben tirnak bakimi icin aldim"
812,Negative,Ürün çok yoğun sürüldüğünde topaklanma oluyor. Ayrıca rengi gözüktüğünden çok daha açık. Tekrar kullanmayı düşünmüyorum
813,Neutral,muadili ne göre uygun fiyatlı göz dolduruyor 2 ve1 versiyonu var siyah kırmızı ve mor olanlar 2. versiyon 5 kademede ayarlaniyor
814,Neutral,Güzel yayılmıyor cilt tarafından iyi emilmiyor ama sivilce izlerinde solma oldu
815,Negative,👍👍👍👍👍👍👍👍👍👍👍👍
816,Negative,Fiyatı Ürün maalesef göründüğü gibi değil
817,Neutral,vichy olmasina ragmen yuzde lekelenmeyi onleyemedi
818,Positive,uygun fiyat orta kaliteli ürün
819,Negative,Ben bayağı önce almıştım kokusu ve yapısı harika
820,Neutral,kullanimi zor bayağı kimyasala magruz kaliyorsunuz.sonrasinda normal bir duzluk oluyor oyle dumduz bir sac olmuyor ama idare eder
821,Positive,Duştan sonra ıslak saça uygulayınca benim gibi yanık kopmuş saçı bile yumuşattı davinesin keratinini kullanıyodum ama bu ondan daha bombaymış düşünmeyin alın kızlar
822,Negative,ürünün aciklamalarla alakasi yok 16 cm eni var ip gibi... madem aciklama yaziyorsunuz dogrusunu yazinda musteride ona gore alsin yeni dogum yaptim sadece belimi sıkı tutcak bisey olsun diye almistim ama bu kadar kötü bisey gelecegini dusunmemistim
823,Neutral,1 aydır düzenli olarak kullanıyorum bu ürünle birlikte leke giderici bazı ürünlerde aynı anda kullanıyorum ama bende pek bir değişiklik olmadı açıkcası ürün bitene kadar kullanmaya devam edicem  ama lekeleri geçiriyor gibi bir şey diyemiyorum umarım ürün bitince farkı anlayabilirim
824,Positive,Çok hızlı teslim ettiler kargoya verildiği gün elime ulaştı hızlı teslimat ve güzel paketleme için teşekkür ederim. ürün çok  güzel paketlenmişti ayrıca mutlu oldum buna. ürün zaten harika
825,Positive,maskarada 1 nunara kesinlikle tavsiye ederim
826,Positive,mükemmel fiyati uygun diye sans vermek istedim. bundan sonra baska birsey kullanmam ihtiyacinizi sonuna kadar karşılıyor
827,Negative,Sutyen gibi çok kisa geldi biraz daha uzun olsaydi kumasida çok güzel bir ürün
828,Neutral,"Beklentiyi fazla tutmuşum saç dökülmemde azalma olmadı, saç uzatıyor fakat dökülmeye bir etkisi yok... şampuan olarakta sertleşme yapmıyor o acıdan iyi."
829,Neutral,paketleme biraz daha iyi olabilirdi kokusu çok çabuk kayboluyor
830,Positive,Çok güzel açıyor saçı ve yakmıyor. Kargo hızlı geldi 🥰 ikinci kutu bitmek üzere 💃🏼
831,Positive,tirnaklarimin kat kat ayrilma problemine cozum bulabilmek icin aldim ama kisa kullaniyorum su an bu yuzden buna cozum olup olmayacagini bilemiyorum. bunun disinda zaten tirnagimin kendi yapışi sertti çok uzadiginda kirilmasin ekstra bir sertlige sahip olsun istiyorum bu beklentimi karsilayacak bence. son olarak tirnak kenarlarinda ki etleride çok fazla sertlestirdigini dusunuyorum bunum disinda sorun yok.
832,Neutral,"ürün çok güzel fakat korkunc bir paketleme yapilmisti, bir anda kapak yerinin altindan acildi ve her yer fondoten oldu etrafindaki her sey batti, dikkatli acin"
833,Positive,Çok yumuşak ve güzel bir kokusu var. Tavsiye üzerine denemek için aldım. Iyiki aldım.  Efsane...
834,Neutral,Denedim güzel beğendim
835,Positive,Kadifemsi bir yumuşaklığı var doğal tonlar arayan herkesin kullanması gereken özellikle esmer olanlara daha çok yakışacak bir ruj
836,Positive,Çok kaliteli bir ürün saçta yağlandırma yapmıyor tavsiye ederim
837,Positive,Harika bir ürün ben diğer fiyatları pahalı olan ürünlerden farkı yok çok güzel beğendim tavsiye ederim
838,Neutral,Yüz temizleme jeli gerçekten bir aparatla kullanılınca derinlemesine temizliyor ama yanındaki diğer küçük olan ürünü 1 aydın kullanıyorum ve herhangi bir etkisini görmedim.Bahsedildiği kadar iyi bir ürün değil.
839,Positive,"Ürün çokzel titreşimi ayarlı artırabiliyosunuz. İçersinde ona uygun usb kablosu var. Suyla da yıkadım sıkıntı yok gibi. He birde alalı 2 hafta olmuştur daha şarj etmedim 3 4 kere de kullandım hala, şarjı var 😀"
840,Neutral,Fiyatına göre küçük bence renk verişi de düşük
841,Neutral,Kokusu güzel yağlı his bırakmıyor nemlendirmesi orta düzey paketlemede fena değildi
842,Neutral,1 aydır kullanıyorum saç derimdeki kabuklanmayı tamamen bitirmesede azalttı
843,Positive,Biraz küçük gibi geldi ama titreşimi gayet güzel
844,Neutral,Kokusu çok güzel
845,Positive,"Çok hızlı geldi. Bir haftadır kullanıyorum, evde yarım yamalak yaptığım manikürüm güzeleşti ve asla bozulmadı. Normalde ikinci günden tırnak etlerim bozulmaya başlar. Tırnaklarım da daha güçlü gibi geliyor. Çok güzel kokuyor. Boyut ideal çok uzun süre gider. Çevremdeki herkese aldırıyorum ALIN ALDIRIN"
846,Neutral,çok etkisi olmadı şu ana kadar ama çok güzel bir şekilde cildi temizleyip nemlendiriyor
847,Neutral,Fiyatına göre performansı orta seviyede. Soyulabilir olması basit ama haftada 1 2 kullanımla  belli sürede götürür gibi.
848,Negative,Sökük çıktı dikişleri bedeni tam alabilirsiniz. İade ettim ancak işlem çok uzun sürüyor
849,Negative,Uni baby serisine yakışır bir ürün değil
850,Positive,Özel günlerde kullandığım harika bir kokuya sahip teşekkürler trendyol
851,Neutral,"küçük olan başlık güzel sabitlenmemiş daha paketten çıkarken düştü ve hiçbir zaman tam sabitlenmedi👎 yüzü çok rahatlatan bir taş, soğuk şekilde yüze uygulanınca ferahlatıyor"
852,Neutral,Henüz kullanmadım deneyince yorum yazcam.
853,Positive,Ekstra kargo parası dahil ama yine de piyasanın en ucuzu burda kaçırmayın derim
854,Negative,Rengi de  kıvamı da kötü. Pütür pütür bir his bırakıyo sürünce sanki içinde tanecikler varmış gibi bir his.
855,Negative,Kalemi bir süredir kullanıyorum ve gerçekten memnun değilim. Aldığım renk siyahtı ve ürünün belli yerlerinde renk değişimi oldu. Ayrıca devamlı uç kırıyor. Tavsiye etmiyorum
856,Negative,Gelen ürünler ilk kullanımda dikiş yerlerinden sökülmeye başladı. Diksek bile başka yerlerden sökülmeye başladı. Tavsiye etmiyorum. Almanızı önermem.
857,Positive,harika bir ürün çok memnun kaldım kuru bir  cilde  sahip kişilerin kesinlikle alması gereken bir ürün olduğunu düşünüyorum çok iyi nemlendiriyor ❤
858,Negative,İndirimdeyken almıştım yorumlar harikaydı ama bende sivilce yaptı ben ergenlıkte sivilce cıkartmadın ama bunda nohut büyüklüğünde sivilceler ve içinde kaldı yüzümde bir kaç lekesi kaldı malesef kullanamıyorum hayal kırıklıgı oldu benim için...
859,Negative,"çok kısa ve küçük M kullanyor olduğum halde L/XL aldım, ancak S beden gibi duruyor. Fayda/fiyat konusunda hiç yeterli değil. İade edeceğim."
860,Negative,Taytlarla giyilmez boyu kısa kumaşı da çok kaliteli değil iade edeceğim
861,Neutral,kokusu çok güzel değil
862,Neutral,Ben çok sevemedim 😞
863,Neutral,"Bir kere yapma imkanı buldum öyle başarılı bir sonucunu görmedim bir kaç defa daha yapınca etkisini gösterir diye umuyorum, teşekkürler"
864,Positive,Saçlarımı önce türüncu yaptı sonra sarı tonunda açtı
865,Neutral,Yüzü güzel nemlendiriyor iki üç damla yeterli oluyor
866,Positive,İlk kullanımdan yumuşacık yaptı cildimi şarjıda uzun süre dayanıyor
867,Positive,"Gidipte o kadar para vermeye hiç gerek yok, çok güzel ve de kullanışlı bir ürün"
868,Negative,çok küçük bir defter beklentimi karşılamadı
869,Neutral,Kaliteli ürün
870,Positive,fiyata göre fazlasıyla iyi
871,Negative,Ben efsane bir şey görmedim aksine sağlarım tel tel oldu beğenmedim
872,Neutral,c vitamini yapış yapış hissi bırakıyor. o yuzden gece kullaniyorum. daha bir etkisini görmedim
873,Negative,ürün gelir gelmez makinede sadece 1 kere soğuk su durulama yaptım fakat sonuc husran rengi atti males sonuç hüsran
874,Positive,gollden roseun bu rujunu zaten severek kullanıyorum. kargosu da çok hızlıydı 2 gün içinde geldi.
875,Neutral,Ürünün kokusunu beğenmedim aldım ama kullanamadım
876,Negative,Hiçbir işe yaramıyor. Sadece nemlendirmek için kullanabilirsiniz
877,Negative,Bir beden büyük alınmalı iade ettim
878,Positive,kokusuna bayiliyorum çokk güzel tam yazlik
879,Positive,yaz kış sizi kurtaracak bir ürün
880,Neutral,henüz bir değişiklik görmedim.. zamanla bakıcam
881,Neutral,"yumuşak dokulu, akma yapıyor"
882,Negative,Sakın almayın
883,Negative,İdare eder çokta iyi değil
884,Neutral,Güzel ürün ama etki etmesi için 10 kere sürmek gerekiyor
885,Positive,Buzdolabında soğutarak kullandım harika bir his bırakıyor cildi rahatlatıyor. Tavsiye ederim ☺️
886,Neutral,Yanlış ürün geldi. Görünüşü dışarıdan birebir aynı oldugu için sanırım oldı yanlışlık. Kaş jeli geldi bana. Zaten almak istediğim bir ürün olması sebebiyle geri iade etmedim ama tekrar sipariş vericem bundan da
887,Neutral,Ürünü bir kez kullandım net bir etki göremedim umarım kullanikca etkisini gorurum
888,Positive,Kokusu çok güzeldi ve paketlenmesi iyiydi
889,Positive,gece kremiyle birlikte kullanıyorum. ikisi birlikte de ayrı ayrı da çok etkililer. birkaç gündür kullanmama rağmen ciddi derecede köyü lekelerim azaldı ve cildim bembeyaz oldu. kullanmaya devam ettikçe çok daha iyi sonuç alacağımi düşünüyorum.  fiyatına göre çok çok çok iyi bir ürün
890,Neutral,çok kalıcı bir boya
891,Positive,Fiyat olarak çok uyguna aldım 👌🏻
892,Positive,ürünün boyutu büyüktü. Abarttıkları kadar zor çıkmıyor saçtan ben tek yıkamada kurtuldum isteyen 2. yi de yıkayabilir
893,Negative,beklediğim gibi değil
894,Neutral,Görkem karmanda görüp aldım cidden düzenli kullanımda çok etkili bir ürün lekeli ciltler için fiyatına. Göre iyi
895,Negative,kışa ve çok kalitesiz
896,Negative,idare eder
897,Negative,"Saçı çok sertleştirip tel tel yaptı , yıpranmış gibi .. sevemedim"
898,Negative,Bilisteks daha dolgunlaştırıcı hiçbir işe yaramıyor
899,Positive,hiç düşünmeden alabilirsiniz 50ml geldi yorumlarda dendiği gibi 30 ml falan değil kokusu harika
900,Positive,Ürün çok güzel beğenerek kullanıyorum
901,Negative,18 mayista sipariş ettim ins bu sene içinde gelir
902,Positive,İlk kullanımım denildiği gibi yakıyor bayagı umarım işe yaradığının göstergesidir. Bu acıya değmeli ☺️🙏🏼
903,Negative,"Ürünün görselle de kumaş bilgisi ile de alakası yok renk farklılığı elbette bekliyordum ama aşırı köyü mürdüm ve yüzde yüz naylon... Çok heves ederek almıştım ama üzülerek iade edeceğim. İp askısı çok uzun, kısa olmadı üstü bu yüzden... Üzdün meşhur takım"
904,Negative,"Kontör rengi çok açık, kalitesiz"
905,Negative,Bekledıgım gıbı degıl
906,Neutral,ürün çok kaliteli ancak birazi ambalajina dokulmustu
907,Positive,2 kez kullandım şampuanladıktan sonra saçı sertleştiriyor üstüne maskeyi kullanınca yumuşacık parlak saçlarınız oluyor beğendim ben açıkçası ve kepek sorunumu çözdü
908,Positive,renk çok doğal kesinlikle bu rengi alın
909,Positive,çok güzel bir koku
910,Negative,Malesef ürün küçük geldi ve beklediğim gibi değil dikiş ipleri çok belirgin hoş durmuyor
911,Negative,Çok hızlı elimize ulaştı ancak edt akmıştı. Kutu sırılsıklam olmus ve parfüm neredeyse yarıya inmisti :(
912,Neutral,Her zaman aynı etkiyi vermiyor- çok ilginç 🤔 yeni yeni kullanıyorum sonuçları merakla bekliyorum
913,Positive,"Güzel, rahat, kullanışlı."
914,Negative,Hiç sevmedim
915,Negative,"Almayın,aldırmayım askılar feci"
916,Neutral,Çok güzel yumuşacık yapıyor
917,Negative,ufak alabilirsiniz
918,Positive,Gerçekten bu fiyata çok iyi bir ürün. Forever marka pudra pembe rengi geldi. Şarj problemi hiç yaşamadım gerçekten iyi çalışıyor tavsiye ederim
919,Positive,mükemmel bir yağ kokusu da çok hoş
920,Positive,uygun fiyatlı ve güzel
921,Neutral,Yoğun bir nemlendirme sağlamasa da hafif bir yapısı var günlük kullanım için fena değil
922,Positive,Mükemmel birşey kökünden alıyor kılları çok kullanışlı. Sadece birtık canını acıtıyor ama sonuç mükemmel
923,Negative,tek basina yeterli değil nemlendirici uzerine uygulayip pudra surdugumde ciltte kusma yapti tek basina nemlendirici olarak kullandigimda da yeterli gelmedi memnun kalmadim
924,Negative,nasıl bir ürün anlamadım. yani suyu sürsem kafama daha çok renk bırakırdı. hiç bir şekilde saç coooook platin olmadığı sürece asla renk vermiyor. boşa verilmiş para.
925,Neutral,Kalıcılığı fazla değil ama çok hafif ve dudakları pütür pütür yapmıyor
926,Negative,Ambalajı poşetsiz geldi oda güvensizlik yarattı bende😔
927,Neutral,Seboreik dermatitliyim bir umut aldım ama yüzümde kızarıklıklara neden oldu. Seboreiklilere tavsiye etmiyorum. Hızlı teslimat..
928,Neutral,Arkadaşlar ürün iyi kapatıyor çok fazla fondoten kapatıcılığı beklemeyin ama doğal bir etki bıraktığı söylenebilir. Sadece numaraya dikkat ederek alın. 21 nolu ürünü aldım beyaz tenli olmama rağmen bı tık açık kaldı. Ama diğer ürünlerle yumuşatıyorum.
929,Neutral,Güzel ürün
930,Positive,Yeni kullanmaya başladığım için şampuan hakkında  şu an yorum yapamayacağım ama maskesinden çok memnun kaldım.
931,Negative,beğenmedim hiç temizleyemiyor 🤦🏻‍♀️
932,Negative,kirtasiyeden daha ucuza aldim
933,Positive,Fiyatina gore harika bir ürün çoğu parfumden daha kalici
934,Neutral,Güzel hafif bir krem
935,Neutral,kaliteli fakat fiyat pahalı
936,Positive,kokusu çok güzel iki haftadır kullanıyoruz gayet memnun kaldık
937,Negative,Çok sevemedim ve işe yaradığını düşünmüyorum.
938,Neutral,Emsallerine göre güzel
939,Negative,"asla gorseldeki gibi değil, beyaz geldi bir kere. oldukca kalitesiz gorunuyor fyatina gore."
940,Neutral,Nemlendırmesı çok iyi değil
941,Neutral,doğal olması güzel yağlı his bırakmıyor
942,Neutral,"Paketlemesi başarılı , ürün zarar görmeden geldi. Hemen denedim UV Makinesi başarılı şekilde sabitliyor , tüm saniye ayarlarını çalışıyor. Üründen puan kırmamın tek sebebi kalem şeklindeki aplikatörü. İlk kullanım için çevirdiğimde sorun yaşamadım fakat diğer elim için yavaş yavaş ve bekleyerek çevirdim hava boşlukları ile bir anda çok fazla geldi ve zaten içeriği 4.3 ml olan paketin bir kısmı boşuna gitti. Ayrıca french yerine gül kurusu pembe gibi durdu. Normal ojeler gibi şişede olsa çok daha iyi olurmuş."
943,Negative,"Fondöten bazlı güneş koruyucu olduğu için egzemamı tetikledi, la roche posay ürünleri genel olarak egzemamı tetikliyor neden anlamadım, yüz yıkama jelini düzenli kullanıncada aynı etkiyi gördüm, inanılmaz kurttu, yüzüme bolca nemlendirici sürsemde rahatlatmadı, illaki kortizon sürmek zorunda kalıyorum, atopik ve egzemalı bir cilde sahip olduğum için bu cilt tiplerine önermiyorum, kuru ciltlerde aynı şekilde. Normal ciltlerde sorun olmuyor anladım kadarıyla. NOT: sağlık personeliyim ☺️"
944,Positive,"en sevdiğim koku, indirimdeyken kaçırmayıp almıştım. koku oldukça kalıcı ve ağır kokmuyor."
945,Negative,asla bir.işe yaramadı..
946,Negative,Kötü. Daha iyi beklerdim dolum ürün gibi
947,Neutral,kalıcı değil
948,Positive,Ürünü aldım saçlarımı yıkarken bir sıkıntı yaşamadım saçlarım boyalı yıkadıktan sonra bayağı yumuşadı uzatır mi bilmem ama şuanda memnunum
949,Positive,çok güzel kokusu yapısı çok iyi saçlarıma muhteşem bir parlaklık sağladı teşekkürler.
950,Neutral,Aşırı ıslak değil ama rengi normal
951,Negative,m beden almıştım alt tarafı lastik kısmı çok bol belimden düşüyor üst kısmı tam oldu..normalde fe bedenim m beden ..kalıp sıkıntılı
952,Neutral,Yorumlara bakıp aldım . Keşke almasaydım .İlk başta kolonya gibi kokuyor sonra kokusu açılıyor  ama öyle çok hafif değil hafif ağır kokusu var .
953,Neutral,Pek bir faydasını göremedim.
954,Negative,Bir şişe kullandim Herhangi etkisi olmayan bir ürün
955,Neutral,İndirimle aldım gayet hoş bir yapısı var.
956,Negative,beğenmedim
957,Positive,Uyguladigimda yüzümde müthiş bir yumuşaklık hissediyorum kesinlikle harika
958,Positive,Tavsiye üzerine aldım umarım işe yarar.
959,Negative,Kötü biçimsiz kalıbı dar
960,Positive,Ürün 1 hafta kadar bir sürede elime ulaştı renk tonu ve yapısı gayet güzel beğendim :))
961,Positive,Aşırı memnun kaldığım bir ürün.Kargoda oldukça hızlıydı.
962,Negative,Eh işte normal
963,Positive,1 haftadır kullanıyorum sanırım faydasini gördüm sporla yakma hissi herkesin söylediği gibi bendede var sanırım işe yaradığına işaret bu da
964,Negative,Türüncu gibi bir tonu var. Beyaz tenliyim sürünce güneşte uyuyakalmışım da kızarmışım gibi bir görüntü oldu kullanamayacağım
965,Negative,"Ürün aşşırı küçük geldi. Kesinlikle bedeninizden daha büyük aldın, 38 aldım gelen ürün ancak s olur. Ama kalitesi güzel, başkasına hediye edeceğim."
966,Positive,ürün elime kisa surede ulasti kucucuk bir kutu ama küçük bir damla tum yuzunuze yetiyo nemlendirici krem surmus gibi bir hissi var hemen emiliyo varligini bile hissetmiyosunuz
967,Neutral,Çok etkili değil. Ama temizleme jelini güzel yayıyor.
968,Negative,Kepek sorunu çözemedi.
969,Neutral,Normal bir dudak balmı fiyat performans açısından bir daha tercih etmem şahsen
970,Negative,fiyatı iyi fakat ürün kötü . flormar fondöten ile denedim Watsons fondöten ile denedim ve bir kaç farklı fondöten ile  hepsinde topaklanma yaptı 👎
971,Negative,Daha ilk giyerken bir kosesinden danteli yirtildi. Sonra diger danteller de ayni gun icinde yirtildi gitti. aşırı kalitesiz
972,Neutral,Kuru ve karma cildi olanlara tavsiye etmem. Pul pul duruyor ciltte bir saat sonra.
973,Positive,İlk kullanımda bile etkisi oluyo saçı yıpratmadan açıyo  tavsiye ederim
974,Neutral,Güzel bir ürün tavsiye ederim
975,Positive,"Akne rosacea icin kullaniyorum, çok iyi geldi cildime.Ozenli paketleme ve hızlı teslimat icin teşekkürler!!"
976,Negative,Hiçbir kapatıcı özelliği yok kesinlikle sadece krem gibi kullanabileceğiniz bir ürün. Kapatıcılığı tek başına çok yetersiz bir bb kreme göre.
977,Neutral,Güzel bir matlığa sahip
978,Negative,Ürünü beğenmedim.
979,Negative,Kalitesiz...
980,Positive,Paketleme efsane iyi. Fiyatı üzerinde yazan etiket fiyatından da uygundu 👍🏻
981,Neutral,"Kokusunu beğendim,saçı yumuşacık yapıyor ama dökülmeye etkisinin pek olduğunu söyleyemem"
982,Neutral,Çok küçük kutusu
983,Positive,İndirimde değilken bile alınır aşırı güzel 😍
984,Negative,Hiç bir etkisi olmadı saçıma memnun kalmadım maalesef
985,Negative,Beğenmedim yüzdeki kılları alıyor ve kuruması bayağı zaman alıyor
986,Positive,"Sırf kuponum var diye aldım ama hayatımı değiştirdi diyebilirim, saçlarımın şeklini korumama yardımcı ve harika kokuyor"
987,Negative,kalitesi çok kötü.. oturduğunuz yer pamuk oluyor kesiminin güzel olmasina ve kumaşın yumuşaklığına kanıp iade etmedim keskede etseymisim. 3 defa makinaya atmama rağmen pamuklanma gitmedi
988,Neutral,Görkem karman önerisi ile aldım bir kaç haftadır düzenli kullanıyorum ama pek bir etkisini görmedim
989,Positive,"Kıpkırmızı bir şey çıkacak diye korkutsa da beni, dokusu ve görünüşü şu ana dek sürdüğüm rujlar arasındaki en iyi dokuya kokuya ve renge sahip olanı oldu 💋"
990,Neutral,Fiyata göre kötü değil ama çokta extrem iyi bişey değil açma kapatma yeri sıkıntılı kaliteli bir pille kullanın
991,Positive,çok güzel kokan bir ürün fiyatına göre çok iyi
992,Negative,Dar ötesi..
993,Neutral,İdare eder
994,Positive,Gece kremiyle birlikte aldım yüzümü muhteşem yaptılar makyaj altı baz gibi bile kullanıyorum
995,Positive,Ürünü sürünce yanma ve ardından kaşıntı oluyor sanki güneşte kremsiz yağsız güneşlenmişsin gibi bir yanma yarım saate geçiyor. Etkisine gelince işe yarıyor. Portakal görünümünü yok ediyor tabii aynı zamanda fırça kullanıyorum ve spor da yapıyorum ben.
996,Positive,gerçekten çok güzel bir tane sipariş verdim denemek amaçlı benden alıp kim denediyse sipariş verdi. kokusu sadece diğer nemlendiriciler gibi parfüm kokmuyor ama kötü bir kokusu da yok nemlendirmesi çok güzel
997,Positive,hem içeriği temiz bir ürün hem de gercekten cildi anında nemlendirip uzun süre etkisini sürdüyor ve miktar fiyat acısından oldukça uygun
998,Neutral,"Yumuşak değil, alırken hassasiyeti olanlar dikkat etsin."
